category_priority,category_title,category_slug,category_legacy_titles,category_description,situation_priority,situation_title,situation_slug,situation_short_description
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",1,Развод,razvod,"Что делать, если ваша ситуация связана с темой: развод."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",2,Раздел имущества супругов,razdel-imushchestva-suprugov,"Что делать, если ваша ситуация связана с темой: раздел имущества супругов."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",3,Алименты,alimenty,"Что делать, если ваша ситуация связана с темой: алименты."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",4,Долг по алиментам,dolg-po-alimentam,"Что делать, если ваша ситуация связана с темой: долг по алиментам."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",5,Определение места жительства ребёнка,opredelenie-mesta-zhitelstva-rebenka,"Что делать, если ваша ситуация связана с темой: определение места жительства ребёнка."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",6,Порядок общения с ребёнком,poryadok-obshcheniya-s-rebenkom,"Что делать, если ваша ситуация связана с темой: порядок общения с ребёнком."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",7,Лишение и ограничение родительских прав,lishenie-i-ogranichenie-roditelskih-prav,"Что делать, если ваша ситуация связана с темой: лишение и ограничение родительских прав."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",8,Установление или оспаривание отцовства,ustanovlenie-ili-osparivanie-otcovstva,"Что делать, если ваша ситуация связана с темой: установление или оспаривание отцовства."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",9,Опека и попечительство,opeka-i-popechitelstvo,"Что делать, если ваша ситуация связана с темой: опека и попечительство."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",10,Усыновление,usynovlenie,"Что делать, если ваша ситуация связана с темой: усыновление."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",11,Материнский капитал,materinskiy-kapital,"Что делать, если ваша ситуация связана с темой: материнский капитал."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",12,"Брак, ЗАГС и смена фамилии",brak-zags-i-smena-familii,"Что делать, если ваша ситуация связана с темой: брак, загс и смена фамилии."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",13,Брачный договор,brachnyy-dogovor,"Что делать, если ваша ситуация связана с темой: брачный договор."
1,Семья и дети,semya-i-deti,Семья,"Развод, алименты, дети, опека, материнский капитал, брачный договор и семейные споры.",14,Насилие в семье,nasilie-v-seme,"Что делать, если ваша ситуация связана с темой: насилие в семье."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",1,Покупка и продажа квартиры,pokupka-i-prodazha-kvartiry,"Что делать, если ваша ситуация связана с темой: покупка и продажа квартиры."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",2,Доли в квартире,doli-v-kvartire,"Что делать, если ваша ситуация связана с темой: доли в квартире."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",3,Прописка и регистрация по месту жительства,propiska-i-registraciya-po-mestu-zhitelstva,"Что делать, если ваша ситуация связана с темой: прописка и регистрация по месту жительства."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",4,Снятие с регистрации,snyatie-s-registracii,"Что делать, если ваша ситуация связана с темой: снятие с регистрации."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",5,Выселение,vyselenie,"Что делать, если ваша ситуация связана с темой: выселение."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",6,Приватизация,privatizaciya,"Что делать, если ваша ситуация связана с темой: приватизация."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",7,Аренда жилья,arenda-zhilya,"Что делать, если ваша ситуация связана с темой: аренда жилья."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",8,Новостройки и долевое строительство,novostroyki-i-dolevoe-stroitelstvo,"Что делать, если ваша ситуация связана с темой: новостройки и долевое строительство."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",9,Ипотека,ipoteka,"Что делать, если ваша ситуация связана с темой: ипотека."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",10,Земельный участок,zemelnyy-uchastok,"Что делать, если ваша ситуация связана с темой: земельный участок."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",11,Границы участка и межевание,granicy-uchastka-i-mezhevanie,"Что делать, если ваша ситуация связана с темой: границы участка и межевание."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",12,"Гараж, СНТ и дача",garazh-snt-i-dacha,"Что делать, если ваша ситуация связана с темой: гараж, снт и дача."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",13,"Росреестр, кадастр и ЕГРН",rosreestr-kadastr-i-egrn,"Что делать, если ваша ситуация связана с темой: росреестр, кадастр и егрн."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",14,Затопление квартиры,zatoplenie-kvartiry,"Что делать, если ваша ситуация связана с темой: затопление квартиры."
2,"Жильё, недвижимость и земля",zhile-nedvizhimost-i-zemlya,Недвижимость,"Квартира, дом, доли, прописка, выселение, аренда, ипотека, земля, Росреестр и споры с соседями.",15,Споры с соседями,spory-s-sosedyami,"Что делать, если ваша ситуация связана с темой: споры с соседями."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",1,Контрактная служба,kontraktnaya-sluzhba,"Что делать, если ваша ситуация связана с темой: контрактная служба."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",2,Мобилизация,mobilizaciya,"Что делать, если ваша ситуация связана с темой: мобилизация."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",3,Призыв,prizyv,"Что делать, если ваша ситуация связана с темой: призыв."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",4,Отсрочка от службы,otsrochka-ot-sluzhby,"Что делать, если ваша ситуация связана с темой: отсрочка от службы."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",5,ВВК и категория годности,vvk-i-kategoriya-godnosti,"Что делать, если ваша ситуация связана с темой: ввк и категория годности."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",6,Рапорт,raport,"Что делать, если ваша ситуация связана с темой: рапорт."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",7,Увольнение с военной службы,uvolnenie-s-voennoy-sluzhby,"Что делать, если ваша ситуация связана с темой: увольнение с военной службы."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",8,Перевод в другую часть,perevod-v-druguyu-chast,"Что делать, если ваша ситуация связана с темой: перевод в другую часть."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",9,Отпуск военнослужащего,otpusk-voennosluzhashchego,"Что делать, если ваша ситуация связана с темой: отпуск военнослужащего."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",10,Денежное довольствие,denezhnoe-dovolstvie,"Что делать, если ваша ситуация связана с темой: денежное довольствие."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",11,Выплаты за участие в СВО,vyplaty-za-uchastie-v-svo,"Что делать, если ваша ситуация связана с темой: выплаты за участие в сво."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",12,"Ранение, травма, госпиталь",ranenie-travma-gospital,"Что делать, если ваша ситуация связана с темой: ранение, травма, госпиталь."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",13,Гибель военнослужащего и выплаты семье,gibel-voennosluzhashchego-i-vyplaty-seme,"Что делать, если ваша ситуация связана с темой: гибель военнослужащего и выплаты семье."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",14,Дисциплинарные взыскания,disciplinarnye-vzyskaniya,"Что делать, если ваша ситуация связана с темой: дисциплинарные взыскания."
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",15,Самовольное оставление части,samovolnoe-ostavlenie-chasti,"Что делать, если ваша ситуация связана с темой: самовольное оставление части."
