ID вопроса,Раздел,Жизненная ситуация,Интент,Дополнительные темы,Длина,Фрагмент вопроса
1,"Миграция, гражданство и въезд в РФ",Регистрация и сроки пребывания,Оспорить/обжаловать/отменить,"Суды, иски и защита прав, Образование, школа и вуз, Документы, реестры и персональные данные",526,"Здравствуйте, я гражданин Таджикистана. Я приехал в РФ 21 мая с учебной целью, и я знал, что иностранец должен регистрироваться течение 15 дней, поэтому в через почту сделали регистрацию спустя 9-10 дней, однако, недавно я узнал, что я нахожусь в реестре контролируемых лиц. И только сегодня узнал, что студенту нужно было ставить печать в миграционной в течение 3 дней после своего прибытия. У меня сейчас есть действующая регистрация со сроком до 16 августа. Мы можем как нибудь обжаловать решение о внесении меня в реестре?"
2,"Авто, ДТП, штрафы и транспорт","Такси, аренда, каршеринг",Оспорить/обжаловать/отменить,"Недвижимость, жильё и земля, Потребители, покупки и услуги",289,"Здравствуйте, арендовал машину в таксопарке, недавно пришел штраф за не оплату платной парковки 8. 14 ч2, на сумму 25000₽, если ли какая то возможность отменить или уменьшить размер штрафа, да я там парковался на 30 минут, но не знал что она платная и не знал как оплачивать такие парковки"
3,"Образование, школа и вуз","Вуз, колледж и студент",Оформить/получить,"Миграция, гражданство и въезд в РФ, Потребители, покупки и услуги, Документы, реестры и персональные данные",1454,"Здравствуйте я студент КФУ филиала Елабуга, последний курс, гражданин Туркменистана, проблему у меня - мою последний визу продлили до [контакт скрыт платформой] года, у нас сейчас даже диплом защита не прошла, сказали где то 24-25 июня, диплом мы в Июля дасть сказали, а я должен до [контакт скрыт платформой] года выезжать с РФ, написал заявление о после дипломной каникулы ( я на магистратуру тоже хочу поступить) заявлению подписал деканат и декан но международный отдел не принимает мою заявление говорить после диплом защита можем принять а там потом у меня 5 дней остается до оканчания визы, теперь получается я немогу продлить визу не могу получить диплом ( мне надо оставить кому-то довере..."
4,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Документы и сроки,"Семья, дети и отношения, Наследство, завещание и дарение",359,Свекровь завещала земельный участок невестке. В праве ли невестка продать участок без согласия мужа (сына предыдущей собственницы) и своего несовершеннолетнего сына? Положены ли доли прямым наследникам? Могут ли после сделки муж и сын претендовать на долю наследства? Как покупателю обезопасить себя от появления претендентов на землю после проведения сделки?
5,"Наследство, завещание и дарение",Завещание и наследники,Подать заявление/иск/жалобу,"Военная служба, мобилизация и СВО, Документы, реестры и персональные данные",265,"Брат написал завещание на меня. Мне приходило извещение о том, что он без вести пропал. Потом стало известно, что он погиб. Какие мои действия по получению необходимых документов с архива и получения справки рюо смерти. Какие шаги можно объединить одним заявлением?"
6,"Соцподдержка, пенсии, инвалидность и льготы","Пенсия, стаж и СФР",Оформить/получить,,233,"Моему сыну-инвалиду скоро 8 лет, с рождения воспитываем его дома, планируем в 8 лет отдать в интернат. Мне сейчас 47 лет. Могу ли я досрочно выйти на пенсию в 50 или надо ждать его 18 лет, чтобы оформить ему статус инвалид с детства?"
7,"Бизнес, ИП, самозанятость и налоги","Налоги, чеки и отчётность",Проверить право/законность,"Авто, ДТП, штрафы и транспорт",476,"СЗ забыл выдать чеки одному ИП, 2 раза в 2024 году и один раз в 2025. В феврале 2026 года ИП запросил у СЗ чеки. СЗ опасается начисления штрафов. Налоговая проверка в сторону ИП и СЗ не ведётся пока еще. Можно ли избежать штрафа СЗ при выдаче трёх чеков задним числом, если выдать чеки сейчас? Как оспорить штрафы, если всё же они будут? Несвоевременная выдача чека является налоговым или административным (неправильное применение ККТ) нарушением? У них разные сроки давности."
8,"Семья, дети и отношения",Общее / смешанная ситуация,Подать заявление/иск/жалобу,"Соцподдержка, пенсии, инвалидность и льготы",357,"Здравствуйте. У меня ребенок инвалид. Два года, я подавала перечень документов и заявление, ежемесячно, на 4 оплачиваемых, выходных для в месяц. Выяснилось, что мне их не оплачивали. Бухгалтер сказал, что все пересчитаю и возместят. Но перевели, только 10 тыс. Сколько денег, мне в итоге должны вернуть за два года? И как с ними бороться, чтобы вернули все?"
9,"Соцподдержка, пенсии, инвалидность и льготы","Инвалидность, МСЭ и ТСР",Подать заявление/иск/жалобу,"Семья, дети и отношения",533,"Здравствуйте. У меня ребенок инвалид. Я в течении двух лет подавала ежемесячно документы и заявление, на 4 оплачиваемых, выходных дня в месяц, ежемесячно. Но выяснилось, что мне эти дни вообще не оплачивали. Бухгалтер сказал, что посчитают за два года и оплатят. Но начислили только 10 тыс, за два года. Подскажите приблизительно, какая сумма должна быть ежемесячно, за эти 4 дня в месяц. И второй вопрос. Как бороться с этим беспредельном? Это подспудное дело для организации? Как мне быть, чтобы мне полностью выплатили все деньги."
10,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,"Понять, что делать","Недвижимость, жильё и земля",133,"Могут ли мне приостановить списание со счета по исполнительному производству по кредитам, если мой племянник является участникам СВО?"
